Population,Per Capita Income,Average Rent,City,Median Household Income
26386.0,20551.0,426.0,ALBEMARLE,38498.0
1742.0,28386.0,520.0,ALBERS,75625.0
363.0,27846.0,286.0,ALBERT,47344.0
1001.0,29216.0,357.0,ALBERT CITY,55313.0
21131.0,24871.0,449.0,ALBERT LEA,39647.0
2401.0,17151.7,237.5,ALBERTA,34323.3
1241.0,26394.0,579.0,ALBERTON,45956.0
9820.0,30636.0,1165.5,ALBERTSON,69273.0
44980.0,22343.3,601.0,ALBERTVILLE,52601.0
5948.0,24243.0,385.0,ALBIA,46617.0
371.0,26254.0,292.0,ALBIN,31413.0
55167.0,22621.7,462.2,ALBION,43050.5
474.0,26411.0,925.0,ALBORN,60000.0
1654.0,26490.0,388.0,ALBRIGHT,41357.0
7676.0,22404.0,938.0,ALBRIGHTSVILLE,52460.0
645842.0,27481.2,740.6,ALBUQUERQUE,50650.8
1763.0,27361.0,664.0,ALBURGH,53446.0
1003.0,29601.0,469.0,ALBURNETT,67321.0
5548.0,29676.0,936.0,ALBURTIS,71432.0
2512.0,16959.0,506.0,ALCALDE,49000.0
1730.0,24843.0,373.0,ALCESTER,55278.0
7232.0,21960.0,561.0,ALCOA,40587.0
1954.0,17998.0,355.0,ALCOLU,33205.0
309.0,31710.0,,ALCOVA,151528.0
97.0,23297.0,,ALCOVE,80000.0
1322.0,17738.0,509.0,ALDA,46324.0
16667.0,25086.4,465.2,ALDEN,52156.8
265.0,38299.0,247.0,ALDER,44659.0
223.0,34057.0,,ALDER CREEK,66944.0
398.0,8705.0,,ALDERPOINT,11955.0
5869.0,16328.5,376.0,ALDERSON,30976.5
12468.0,46006.0,1881.0,ALDIE,127464.0
965.0,16195.0,382.0,ALDRICH,41388.5
19519.0,33676.0,720.0,ALEDO,73628.5
208.0,19200.0,925.0,ALEKNAGIK,51705.0
323.0,19941.0,206.0,ALEPPO,36389.0
1082.0,17647.0,343.0,ALEX,38750.0
22396.0,27685.1,477.8,ALEXANDER,57703.9
21050.0,20191.0,377.0,ALEXANDER CITY,37380.0
450315.0,38207.5,1036.7,ALEXANDRIA,73123.7
1886.0,25189.0,572.0,ALEXANDRIA BAY,36554.0
2554.0,22051.5,574.5,ALEXIS,42250.0
2033.0,20706.0,475.0,ALFORD,36583.0
11714.0,17110.0,657.0,ALFRED,40340.0
917.0,27464.0,561.0,ALFRED STATION,49375.0
4652.0,19555.5,373.5,ALGER,39260.5
4271.0,12999.0,705.0,ALGODONES,45441.0
5352.0,21796.0,423.0,ALGOMA,43301.0
7223.0,27424.0,426.0,ALGONA,51149.0
11924.0,26044.0,596.0,ALGONAC,45625.0
32166.0,39151.0,1306.0,ALGONQUIN,99655.0
85387.0,27942.0,890.7,ALHAMBRA,61367.7
28128.0,20372.0,511.0,ALICE,39114.0
5485.0,11883.0,220.0,ALICEVILLE,20648.0
544.0,11878.0,,ALICIA,14972.0
413.0,28108.0,340.0,ALINE,49479.0
32573.0,27566.0,503.0,ALIQUIPPA,51424.0
50820.0,44160.0,1745.0,ALISO VIEJO,97931.0
1468.0,21147.0,,ALKOL,43233.0
137.0,12287.0,213.0,ALLAKAKET,26406.0
0.0,,,ALLAMUCHY,
1167.0,19634.0,,ALLARDT,46786.0
204.0,26554.0,,ALLEDONIA,46199.0
115.0,19347.0,,ALLEENE,
17741.0,22848.0,608.0,ALLEGAN,48013.0
6301.0,26461.0,506.0,ALLEGANY,50647.0
135.0,13791.0,,ALLEGHANY,22000.0
619.0,32623.0,342.0,ALLEMAN,73750.0
103828.0,25624.9,539.5,ALLEN,58801.4
175.0,17689.0,,ALLEN JUNCTION,40948.0
27933.0,27119.0,698.0,ALLEN PARK,58720.0
32547.0,24647.0,839.8,ALLENDALE,58859.2
6778.0,37237.0,792.0,ALLENHURST,84946.0
297.0,21280.0,480.0,ALLENPORT,38333.0
462.0,41384.0,,ALLENSPARK,45588.0
1175.0,17210.0,402.0,ALLENSVILLE,45899.5
5758.0,26674.0,697.5,ALLENTON,64270.5
174436.0,26384.2,761.5,ALLENTOWN,53550.8
7064.0,27963.0,488.0,ALLENWOOD,81258.5
1105.0,24274.0,439.0,ALLERTON,48823.5
1144.0,26474.0,,ALLEYTON,82391.0
42.0,19690.0,308.0,ALLGOOD,30375.0
44716.0,21932.5,434.5,ALLIANCE,41264.5
678.0,15116.0,278.0,ALLIGATOR,38000.0
2361.0,25898.7,486.0,ALLISON,53323.0
24988.0,38512.0,801.0,ALLISON PARK,80382.0
1502.0,22693.0,435.0,ALLONS,35637.0
303.0,27557.0,,ALLOUEZ,56875.0
1064.0,28290.0,1336.0,ALLOWAY,106800.0
123.0,26746.0,,ALLOY,52500.0
302.0,24151.0,,ALLPORT,61378.0
26.0,16746.0,,ALLRED,
19009.0,24946.0,1361.0,ALLSTON,37820.0
3125.0,31741.0,844.0,ALLYN,60938.0
45586.0,24831.0,428.3,ALMA,42866.8
1223.0,23827.0,483.0,ALMA CENTER,54107.0
2295.0,24594.0,430.5,ALMENA,48077.0
481.0,23738.0,510.0,ALMIRA,38958.0
2458.0,21071.0,379.0,ALMO,36156.0
4622.0,24052.0,446.5,ALMOND,48613.3
6500.0,22593.7,470.0,ALMONT,41034.0
906.0,24855.0,343.0,ALMYRA,55132.0
663.0,27258.0,595.0,ALNA,55208.0
1084.0,10863.0,481.0,ALPAUGH,27443.0
24671.0,25386.7,386.7,ALPENA,40610.3
1651.0,23225.0,459.7,ALPHA,41691.6
172432.0,42506.0,987.2,ALPHARETTA,92636.8
44635.0,37113.3,829.2,ALPINE,63883.6
485.0,29941.0,992.0,ALPLAUS,58375.0
1237.0,20367.0,617.0,ALSEA,33625.0
76.0,17512.0,,ALSEN,59375.0
273.0,19380.0,384.0,ALSEY,28750.0
22945.0,23086.0,802.0,ALSIP,51186.0
2759.0,28415.0,682.0,ALSTEAD,64145.0
78.0,20323.0,,ALSTON,52500.0
3847.0,33873.3,830.7,ALTA,50459.3
1675.0,20200.5,345.5,ALTA VISTA,46499.0
37832.0,41528.0,1272.0,ALTADENA,85108.0
112.0,16820.0,,ALTAIR,30000.0
16819.0,23252.3,509.8,ALTAMONT,55246.5
56511.0,26603.5,817.5,ALTAMONTE SPRINGS,49001.0
5535.0,23816.0,423.0,ALTAVISTA,36422.0
688.0,22206.0,503.0,ALTENBURG,58654.0
4776.0,14096.0,413.0,ALTHA,32223.0
1130.0,15953.0,266.0,ALTHEIMER,31406.0
1637.0,19111.0,483.0,ALTMAR,39896.0
24030.0,24756.5,602.8,ALTO,49514.8
799.0,14458.0,347.0,ALTO PASS,26940.0
43689.0,21831.0,478.6,ALTON,43410.0
1510.0,31333.0,739.0,ALTON BAY,63462.0
2929.0,20886.5,403.5,ALTONA,48704.5
254.0,22994.0,,ALTONAH,48438.0
98137.0,25508.3,598.0,ALTOONA,43066.6
1451.0,27271.0,518.0,ALTURA,55893.0
4915.0,22327.0,516.0,ALTURAS,37148.0
23921.0,19484.5,435.0,ALTUS,36738.5
2040.0,19215.0,438.0,ALUM BANK,47222.0
643.0,19560.0,424.0,ALUM BRIDGE,28721.0
2436.0,24291.0,447.0,ALUM CREEK,37264.0
12092.0,26480.7,660.0,ALVA,52106.3
953.0,26535.0,442.0,ALVADA,60179.0
20128.0,22960.0,478.5,ALVARADO,51637.5
4360.0,30165.0,686.0,ALVATON,75788.0
322.0,20232.0,,ALVERDA,39583.0
206.0,42158.0,,ALVERTON,85341.0
47553.0,21809.5,524.5,ALVIN,52503.5
1728.0,28676.0,1161.0,ALVISO,70114.0
261.0,35703.0,605.0,ALVO,57500.0
3958.0,23172.0,976.5,ALVORD,57839.5
712.0,20523.0,446.0,ALVORDTON,51053.0
202.0,20600.0,,ALZADA,28125.0
1204.0,33250.0,912.0,AMA,61250.0
1922.0,22291.0,903.0,AMADO,51170.0
139.0,30815.0,720.0,AMADOR CITY,19688.0
1201.0,55289.0,1491.0,AMAGANSETT,76326.0
146.0,16940.0,280.0,AMAGON,30521.0
203.0,14865.0,,AMALIA,14934.0
1926.0,34997.0,435.0,AMANA,64879.0
4606.0,22043.0,609.0,AMANDA,58391.0
269.0,22196.0,428.0,AMANDA PARK,44904.0
1240.0,14317.0,331.0,AMARGOSA VALLEY,28185.0
221870.0,24750.8,614.6,AMARILLO,50951.6
162.0,19209.0,269.0,AMASA,38125.0
1217.0,62287.0,,AMAWALK,143529.0
607.0,20154.0,320.0,AMAZONIA,43676.0
770.0,27639.0,471.0,AMBER,49750.0
796.0,21412.0,250.0,AMBERG,34028.0
177.0,37027.0,,AMBERSON,100750.0
502.0,20101.0,328.0,AMBIA,34286.0
33632.0,34286.5,668.0,AMBLER,69538.0
8934.0,25457.2,543.2,AMBOY,53676.0
11613.0,21937.0,459.0,AMBRIDGE,35798.0
2842.0,27571.0,291.0,AMBROSE,38580.0
23058.0,19160.0,591.0,AMELIA,42207.0
11071.0,24940.0,613.0,AMELIA COURT HOUSE,53193.0
2849.0,27637.0,810.0,AMENIA,65692.0
19902.0,28550.0,1528.0,AMERICAN CANYON,82746.0
5680.0,17635.0,457.0,AMERICAN FALLS,43676.0
43441.0,24434.0,956.0,AMERICAN FORK,76345.0
27546.0,18845.7,364.3,AMERICUS,37003.0
8175.0,27100.0,630.0,AMERY,48750.0
64469.0,22301.5,558.3,AMES,52987.5
16429.0,38659.0,894.0,AMESBURY,78486.0
1305.0,16293.0,397.0,AMESVILLE,37176.0
88035.0,23324.1,696.3,AMHERST,53385.8
1526.0,29934.0,521.0,AMHERST JUNCTION,61591.0
967.0,21386.0,321.0,AMHERSTDALE,33882.0
186.0,33369.0,,AMIDON,75625.0
231.0,25932.0,,AMIGO,57278.0
5439.0,34301.0,849.0,AMISSVILLE,80031.0
86.0,29153.0,,AMISTAD,60529.0
15082.0,17851.0,482.0,AMITE,36263.0
9120.0,22501.2,552.3,AMITY,49653.0
27536.0,28280.0,1180.0,AMITYVILLE,69733.0
2184.0,46269.0,1297.0,AMLIN,85338.0
158.0,24921.0,,AMMA,48523.0
223.0,24382.0,933.0,AMO,84375.0
45.0,10338.0,,AMONATE,
462.0,18866.0,525.0,AMORET,33295.0
36.0,36822.0,,AMORITA,12250.0
12346.0,18794.0,409.0,AMORY,35350.0
31524.0,21406.0,398.3,AMSTERDAM,39366.7
3805.0,43372.0,1219.0,AMSTON,116326.0
117.0,23085.0,,ANABEL,31667.0
4514.0,22917.0,486.0,ANACOCO,45923.0
9011.0,23128.0,394.0,ANACONDA,40205.0
20305.0,33694.0,863.0,ANACORTES,60369.0
9386.0,15994.0,299.0,ANADARKO,34755.0
357567.0,26703.6,1360.1,ANAHEIM,66589.3
2491.0,21699.0,1184.0,ANAHOLA,56912.0
4315.0,24375.0,496.0,ANAHUAC,44375.0
304.0,18487.0,533.0,ANAKTUVUK PASS,52500.0
502.0,30227.0,275.0,ANAMOOSE,56250.0
8683.0,25159.0,450.0,ANAMOSA,54877.0
28963.0,7892.0,334.0,ANASCO,16707.0
209.0,49458.0,,ANATONE,65714.0
644.0,18376.0,99.0,ANAWALT,40556.0
157.0,16030.0,,ANCHOR,43750.0
2742.0,26981.0,688.0,ANCHOR POINT,49563.0
242982.0,54369.7,1067.7,ANCHORAGE,79290.4
134.0,60158.0,,ANCONA,55000.0
1074.0,30762.0,850.0,ANCRAM,64545.0
801.0,33991.0,1121.0,ANCRAMDALE,70000.0
1922.0,23266.0,533.0,ANDALE,83013.0
20709.0,24525.3,658.3,ANDALUSIA,49615.7
210357.0,22050.6,513.5,ANDERSON,42173.2
904.0,39162.0,745.0,ANDERSON ISLAND,43333.0
5057.0,17183.5,409.0,ANDERSONVILLE,36732.0
1012.0,29750.0,664.0,ANDES,46000.0
116855.0,30733.8,678.8,ANDOVER,69957.5
1303.0,26819.0,,ANDREAS,76010.0
409.0,21222.0,472.0,ANDREW,40781.0
34379.0,19707.2,494.8,ANDREWS,39122.2
3632.0,21961.0,1969.0,ANDREWS AIR FORCE BASE,51631.0
525.0,30994.0,375.0,ANETA,58125.0
2050.0,26601.0,806.0,ANGEL FIRE,49260.0
33.0,25382.0,,ANGELA,62813.0
1514.0,20471.0,407.0,ANGELICA,43173.0
