Item,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Indiana Pacers,"733,444 (41)","686,537 (41)","670,461 (41)","678,326 (41)","696,764 (41)","663,368 (41)","629,750 (41)","501,092 (41)","581,472 (41)","582,295 (41)","555,077 (41)","467,561 (33)","626,069 (41)","717,542 (41)","691,434 (41)","690,733 (41)","684,578 (41)"
Memphis Grizzlies,n/a,"591,030 (41)","611,322 (41)","622,723 (41)","691,362 (41)","647,533 (41)","600,836 (41)","523,578 (41)","509,806 (40)","552,914 (41)","600,687 (41)","518,256 (33)","681,613 (41)","685,458 (41)","710,502 (41)","684,603 (41)","677,314 (41)"
New Orleans Pelicans (formerly Hornets),n/a,n/a,"641,683 (41)","587,613 (41)","583,070 (41)","744,920 (41)","731,065 (41)","581,432 (41)","695,727 (41)","620,366 (41)","603,088 (41)","498,618 (33)","565,930 (41)","672,029 (41)","683,757 (41)","688,549 (41)","663,099 (41)"
Detroit Pistons,"607,323 (41)","760,807 (41)","839,278 (41)","872,902 (41)","905,119 (41)","883,040 (40)","905,116 (41)","905,116 (41)","896,971 (41)","768,826 (41)","683,080 (41)","475,638 (33)","606,094 (41)","615,238 (41)","625,917 (41)","677,138 (41)","655,141 (41)"
Atlanta Hawks,"560,324 (41)","506,110 (41)","528,655 (41)","565,728 (41)","592,729 (41)","617,817 (41)","639,375 (41)","667,518 (41)","686,688 (41)","678,375 (41)","641,596 (41)","501,593 (33)","620,146 (41)","587,927 (41)","713,909 (41)","690,150 (41)","654,306 (41)"
Milwaukee Bucks,"683,125 (41)","745,305 (41)","665,956 (41)","690,200 (41)","637,009 (41)","681,337 (41)","663,629 (41)","639,421 (41)","630,976 (41)","619,453 (41)","631,910 (41)","485,717 (33)","616,469 (41)","552,967 (41)","611,226 (41)","621,808 (41)","648,952 (41)"
Brooklyn (formerly New Jersey) Nets,"566,077 (41)","564,194 (41)","622,574 (41)","613,051 (41)","618,677 (41)","691,543 (41)","678,885 (40)","641,921 (41)","621,062 (41)","537,230 (41)","581,378 (41)","460,719 (33)","704,702 (41)","707,331 (41)","698,529 (41)","620,142 (41)","632,608 (41)"
Minnesota Timberwolves,"717,371 (41)","731,673 (41)","643,684 (41)","723,071 (41)","723,071 (41)","648,167 (41)","655,947 (41)","593,537 (41)","594,743 (41)","619,170 (41)","624,960 (41)","577,197 (33)","669,956 (41)","597,157 (41)","595,652 (41)","581,178 (41)","607,203 (41)"
Denver Nuggets,"619,300 (41)","633,846 (41)","607,813 (41)","721,476 (41)","723,949 (41)","702,555 (41)","706,437 (41)","711,962 (41)","706,165 (41)","737,812 (41)","692,968 (41)","561,966 (33)","730,616 (41)","692,898 (41)","602,707 (41)","577,898 (41)","605,585 (41)"
Seattle SuperSonics,"640,847 (41)","633,516 (41)","637,194 (41)","625,474 (41)","675,490 (41)","664,157 (41)","654,163 (41)","547,556 (41)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Vancouver Grizzlies,"563,218 (41)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Charlotte Bobcats,n/a,n/a,n/a,n/a,"591,701 (41)","671,011 (41)","637,520 (41)","603,403 (41)","581,049 (40)","648,790 (41)","649,694 (41)","486,984 (33)","628,293 (41)",n/a,n/a,n/a,n/a
Total Regular Season,"19,956,572","20,182,140","20,074,369","20,272,233","21,369,078","21,510,099","21,163,658","21,395,576","21,389,899","21,094,015","20,461,649","17,100,861","21,320,299","21,411,543","21,905,470","21,954,838","21,997,825"
( ) Number of games,"1,189","1,189","1,189","1,189","1,228","1,226","1,229","1,230","1,224","1,230","1,230",990,"1,229","1,230","1,230","1,230","1,230"
