Population,Median Household Income,Per Capita Income,Average Rent,Zipcode,City,State
20557.0,16802.0,12357.0,357.0,00917,SAN JUAN,PR
16472.0,26573.0,22652.0,243.0,00918,SAN JUAN,PR
18540.0,25463.0,14953.0,540.0,00920,SAN JUAN,PR
38077.0,18417.0,11498.0,453.0,00921,SAN JUAN,PR
28618.0,15959.0,10701.0,344.0,00923,SAN JUAN,PR
58061.0,19510.0,10939.0,288.0,00924,SAN JUAN,PR
6877.0,12847.0,9886.0,427.0,00925,SAN JUAN,PR
107139.0,35308.0,21058.0,516.0,00926,SAN JUAN,PR
15340.0,34572.0,28433.0,388.0,00927,SAN JUAN,PR
245.0,82721.0,25719.0,1059.0,00934,FORT BUCHANAN,PR
1151.0,,13470.0,,00936,SAN JUAN,PR
81758.0,25514.0,12223.0,465.0,00949,TOA BAJA,PR
0.0,,,,00950,TOA BAJA,PR
16.0,,,,00951,TOA BAJA,PR
9611.0,18768.0,9362.0,445.0,00952,SABANA SECA,PR
73236.0,28488.0,12741.0,450.0,00953,TOA ALTA,PR
77151.0,22212.0,10765.0,474.0,00956,BAYAMON,PR
46252.0,23736.0,11453.0,419.0,00957,BAYAMON,PR
48495.0,26264.0,14448.0,435.0,00959,BAYAMON,PR
1496.0,,8586.0,,00960,BAYAMON,PR
32691.0,29931.0,15555.0,394.0,00961,BAYAMON,PR
21717.0,16128.0,8444.0,180.0,00962,CATANO,PR
8988.0,16139.0,7683.0,332.0,00965,GUAYNABO,PR
16371.0,52463.0,34449.0,523.0,00966,GUAYNABO,PR
3532.0,41936.0,36866.0,767.0,00968,GUAYNABO,PR
42756.0,50811.0,26581.0,582.0,00969,GUAYNABO,PR
30410.0,23241.0,13223.0,425.0,00971,GUAYNABO,PR
63387.0,30372.0,15048.0,400.0,00976,TRUJILLO ALTO,PR
16248.0,37906.0,26361.0,629.0,00979,CAROLINA,PR
16216.0,26148.0,13244.0,509.0,00982,CAROLINA,PR
41590.0,27125.0,13949.0,507.0,00983,CAROLINA,PR
36507.0,25509.0,12127.0,504.0,00985,CAROLINA,PR
59324.0,31546.0,14072.0,525.0,00987,CAROLINA,PR
17245.0,58733.0,28457.0,802.0,01001,AGAWAM,MA
29266.0,54422.0,27691.0,1038.0,01002,AMHERST,MA
11032.0,,3531.0,,01003,AMHERST,MA
5356.0,68644.0,31686.0,761.0,01005,BARRE,MA
14673.0,71875.0,32222.0,743.0,01007,BELCHERTOWN,MA
1144.0,71635.0,32457.0,240.0,01008,BLANDFORD,MA
716.0,38644.0,26422.0,807.0,01009,BONDSVILLE,MA
3635.0,81196.0,36406.0,685.0,01010,BRIMFIELD,MA
1414.0,64891.0,26847.0,704.0,01011,CHESTER,MA
577.0,58750.0,30189.0,791.0,01012,CHESTERFIELD,MA
22113.0,41273.0,20889.0,689.0,01013,CHICOPEE,MA
30571.0,51255.0,27207.0,699.0,01020,CHICOPEE,MA
2794.0,58938.0,29618.0,1514.0,01022,CHICOPEE,MA
1057.0,52155.0,31585.0,650.0,01026,CUMMINGTON,MA
17605.0,59963.0,31327.0,725.0,01027,EASTHAMPTON,MA
15816.0,80469.0,36171.0,826.0,01028,EAST LONGMEADOW,MA
596.0,54330.0,33352.0,,01029,EAST OTIS,MA
11310.0,71228.0,31992.0,711.0,01030,FEEDING HILLS,MA
1484.0,42404.0,28090.0,588.0,01031,GILBERTVILLE,MA
570.0,61806.0,33395.0,1007.0,01032,GOSHEN,MA
6182.0,73816.0,31069.0,670.0,01033,GRANBY,MA
2174.0,77500.0,32908.0,722.0,01034,GRANVILLE,MA
5254.0,73250.0,36471.0,834.0,01035,HADLEY,MA
5129.0,81130.0,35699.0,592.0,01036,HAMPDEN,MA
624.0,84444.0,42109.0,,01037,HARDWICK,MA
2832.0,61603.0,36282.0,822.0,01038,HATFIELD,MA
1566.0,72188.0,36880.0,677.0,01039,HAYDENVILLE,MA
40029.0,31628.0,19968.0,544.0,01040,HOLYOKE,MA
2548.0,56184.0,26597.0,565.0,01050,HUNTINGTON,MA
1909.0,64896.0,25039.0,632.0,01053,LEEDS,MA
1759.0,73000.0,40416.0,880.0,01054,LEVERETT,MA
21247.0,61073.0,31117.0,712.0,01056,LUDLOW,MA
8707.0,64747.0,32046.0,708.0,01057,MONSON,MA
15026.0,52607.0,33655.0,905.0,01060,NORTHAMPTON,MA
11007.0,65756.0,39088.0,834.0,01062,FLORENCE,MA
644.0,,2353.0,,01063,NORTHAMPTON,MA
0.0,,,,01066,NORTH HATFIELD,MA
1839.0,85556.0,32805.0,650.0,01068,OAKHAM,MA
8975.0,53417.0,26238.0,634.0,01069,PALMER,MA
579.0,63889.0,30544.0,567.0,01070,PLAINFIELD,MA
1401.0,75363.0,33090.0,815.0,01071,RUSSELL,MA
1464.0,66705.0,35493.0,977.0,01072,SHUTESBURY,MA
5878.0,80000.0,34196.0,948.0,01073,SOUTHAMPTON,MA
56.0,,38243.0,,01074,SOUTH BARRE,MA
17796.0,61431.0,30643.0,732.0,01075,SOUTH HADLEY,MA
9552.0,78476.0,35587.0,766.0,01077,SOUTHWICK,MA
495.0,34906.0,29734.0,641.0,01079,THORNDIKE,MA
2012.0,40559.0,22950.0,650.0,01080,THREE RIVERS,MA
1703.0,56726.0,30411.0,566.0,01081,WALES,MA
10318.0,51717.0,28354.0,595.0,01082,WARE,MA
3137.0,39521.0,22435.0,670.0,01083,WARREN,MA
209.0,51667.0,31790.0,,01084,WEST CHESTERFIELD,MA
40721.0,59881.0,28943.0,735.0,01085,WESTFIELD,MA
1219.0,,1963.0,,01086,WESTFIELD,MA
451.0,43234.0,32414.0,525.0,01088,WEST HATFIELD,MA
28498.0,54126.0,27853.0,724.0,01089,WEST SPRINGFIELD,MA
1080.0,55370.0,34201.0,574.0,01092,WEST WARREN,MA
282.0,83750.0,42234.0,1750.0,01093,WHATELY,MA
340.0,18241.0,25777.0,361.0,01094,WHEELWRIGHT,MA
14344.0,86667.0,38687.0,647.0,01095,WILBRAHAM,MA
2249.0,65365.0,33128.0,670.0,01096,WILLIAMSBURG,MA
83.0,42031.0,13883.0,,01097,WORONOCO,MA
1081.0,69079.0,35343.0,575.0,01098,WORTHINGTON,MA
2556.0,14133.0,17095.0,706.0,01103,SPRINGFIELD,MA
23083.0,32273.0,17307.0,578.0,01104,SPRINGFIELD,MA
12360.0,18402.0,12137.0,602.0,01105,SPRINGFIELD,MA
16018.0,103472.0,53449.0,1305.0,01106,LONGMEADOW,MA
11271.0,21737.0,12440.0,490.0,01107,SPRINGFIELD,MA
25755.0,34064.0,18347.0,748.0,01108,SPRINGFIELD,MA
31429.0,33376.0,13938.0,665.0,01109,SPRINGFIELD,MA
13722.0,62283.0,29528.0,717.0,01118,SPRINGFIELD,MA
13962.0,46055.0,21261.0,772.0,01119,SPRINGFIELD,MA
2468.0,78864.0,33573.0,,01128,SPRINGFIELD,MA
7505.0,61435.0,26752.0,828.0,01129,SPRINGFIELD,MA
9134.0,30043.0,16169.0,707.0,01151,INDIAN ORCHARD,MA
0.0,,,,01199,SPRINGFIELD,MA
45887.0,42633.0,26738.0,638.0,01201,PITTSFIELD,MA
8586.0,40443.0,24753.0,530.0,01220,ADAMS,MA
805.0,75598.0,40683.0,737.0,01222,ASHLEY FALLS,MA
2346.0,54904.0,37301.0,808.0,01223,BECKET,MA
322.0,90223.0,22426.0,375.0,01224,BERKSHIRE,MA
3059.0,49788.0,28804.0,642.0,01225,CHESHIRE,MA
6981.0,51827.0,28082.0,641.0,01226,DALTON,MA
111.0,68125.0,24606.0,,01229,GLENDALE,MA
8200.0,51467.0,35004.0,758.0,01230,GREAT BARRINGTON,MA
3032.0,64420.0,28315.0,585.0,01235,HINSDALE,MA
1631.0,51964.0,29869.0,922.0,01236,HOUSATONIC,MA
2509.0,71932.0,36849.0,655.0,01237,LANESBORO,MA
6198.0,59477.0,33848.0,702.0,01238,LEE,MA
4818.0,51464.0,37359.0,744.0,01240,LENOX,MA
155.0,55167.0,31279.0,,01242,LENOX DALE,MA
345.0,67411.0,35263.0,519.0,01243,MIDDLEFIELD,MA
150.0,29125.0,24298.0,,01244,MILL RIVER,MA
726.0,52500.0,37324.0,1011.0,01245,MONTEREY,MA
