Type	D	M	Y	Season	Winning League	Winning Team	Losing League	Losing Team	Winner Score	Loser Score	OT	Country	City	Attend.
Regular Season	22	3	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Boston Celtics	113	106				
Regular Season	22	3	2008	(2007-08)	NBA	Philadelphia 76ers	NBA	Brooklyn Nets	91	87				
Regular Season	22	3	2008	(2007-08)	NBA	Phoenix Suns	NBA	Houston Rockets	122	113				
Regular Season	22	3	2008	(2007-08)	NBA	Portland Trail Blazers	NBA	Los Angeles Clippers	83	72				
Regular Season	22	3	2008	(2007-08)	NBA	Utah Jazz	NBA	Oklahoma City Thunder	115	101				
Regular Season	23	3	2008	(2007-08)	NBA	Denver Nuggets (2)	NBA	Toronto Raptors	109	100				
Regular Season	23	3	2008	(2007-08)	NBA	Golden State Warriors	NBA	Los Angeles Lakers	115	111				
Regular Season	23	3	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Dallas Mavericks	88	81				
Regular Season	23	3	2008	(2007-08)	NBA	Washington Wizards	NBA	Detroit Pistons	95	83				
Regular Season	24	3	2008	(2007-08)	NBA	Denver Nuggets (2)	NBA	Memphis Grizzlies	120	106				
Regular Season	24	3	2008	(2007-08)	NBA	Detroit Pistons	NBA	Phoenix Suns	110	105	#			
Regular Season	24	3	2008	(2007-08)	NBA	Houston Rockets	NBA	Sacramento Kings	108	100				
Regular Season	24	3	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Golden State Warriors	123	119	#			
Regular Season	24	3	2008	(2007-08)	NBA	Miami Heat	NBA	Milwaukee Bucks	78	73				
Regular Season	24	3	2008	(2007-08)	NBA	Brooklyn Nets	NBA	New York Knicks	106	91				
Regular Season	24	3	2008	(2007-08)	NBA	Philadelphia 76ers	NBA	Boston Celtics	95	90				
Regular Season	24	3	2008	(2007-08)	NBA	Oklahoma City Thunder	NBA	Portland Trail Blazers	97	84				
Regular Season	25	3	2008	(2007-08)	NBA	Chicago Bulls	NBA	Atlanta Hawks	103	94				
Regular Season	25	3	2008	(2007-08)	NBA	Dallas Mavericks	NBA	Los Angeles Clippers	103	90				
Regular Season	25	3	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Indiana Pacers	114	106				
Regular Season	25	3	2008	(2007-08)	NBA	Portland Trail Blazers	NBA	Washington Wizards	102	82				
Regular Season	25	3	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Orlando Magic	107	97				
Regular Season	25	3	2008	(2007-08)	NBA	Utah Jazz	NBA	Charlotte Hornets	128	106				
Regular Season	26	3	2008	(2007-08)	NBA	Atlanta Hawks	NBA	Milwaukee Bucks	115	96				
Regular Season	26	3	2008	(2007-08)	NBA	Boston Celtics	NBA	Phoenix Suns	117	97				
Regular Season	26	3	2008	(2007-08)	NBA	Charlotte Hornets	NBA	Los Angeles Lakers	108	95				
Regular Season	26	3	2008	(2007-08)	NBA	Houston Rockets	NBA	Minnesota Timberwolves	97	86				
Regular Season	26	3	2008	(2007-08)	NBA	Brooklyn Nets	NBA	Indiana Pacers	124	117				
Regular Season	26	3	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Cleveland Cavaliers	100	99				
Regular Season	26	3	2008	(2007-08)	NBA	New York Knicks	NBA	Miami Heat	103	96	#			
Regular Season	26	3	2008	(2007-08)	NBA	Philadelphia 76ers	NBA	Chicago Bulls	121	99				
Regular Season	26	3	2008	(2007-08)	NBA	Sacramento Kings	NBA	Memphis Grizzlies	107	106	#			
Regular Season	26	3	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Los Angeles Clippers	97	88				
Regular Season	26	3	2008	(2007-08)	NBA	Toronto Raptors	NBA	Detroit Pistons	89	82				
Regular Season	26	3	2008	(2007-08)	NBA	Washington Wizards	NBA	Oklahoma City Thunder	104	99				
Regular Season	27	3	2008	(2007-08)	NBA	Denver Nuggets (2)	NBA	Dallas Mavericks	118	105				
Regular Season	27	3	2008	(2007-08)	NBA	Detroit Pistons	NBA	Miami Heat	85	69				
Regular Season	27	3	2008	(2007-08)	NBA	Golden State Warriors	NBA	Portland Trail Blazers	111	95				
Regular Season	28	3	2008	(2007-08)	NBA	Atlanta Hawks	NBA	Chicago Bulls	106	103				
Regular Season	28	3	2008	(2007-08)	NBA	Boston Celtics	NBA	New Orleans Pelicans	112	92				
Regular Season	28	3	2008	(2007-08)	NBA	Charlotte Hornets	NBA	Oklahoma City Thunder	96	93				
Regular Season	28	3	2008	(2007-08)	NBA	Indiana Pacers	NBA	Brooklyn Nets	123	115				
Regular Season	28	3	2008	(2007-08)	NBA	Memphis Grizzlies	NBA	Los Angeles Lakers	114	111				
Regular Season	28	3	2008	(2007-08)	NBA	Orlando Magic	NBA	Milwaukee Bucks	103	86				
Regular Season	28	3	2008	(2007-08)	NBA	Phoenix Suns	NBA	Philadelphia 76ers	107	93				
Regular Season	28	3	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Minnesota Timberwolves	99	84				
Regular Season	28	3	2008	(2007-08)	NBA	Toronto Raptors	NBA	New York Knicks	103	95				
Regular Season	28	3	2008	(2007-08)	NBA	Utah Jazz	NBA	Los Angeles Clippers	121	101				
Regular Season	28	3	2008	(2007-08)	NBA	Washington Wizards	NBA	Sacramento Kings	114	108				
Regular Season	29	3	2008	(2007-08)	NBA	Charlotte Hornets	NBA	Portland Trail Blazers	93	85				
Regular Season	29	3	2008	(2007-08)	NBA	Chicago Bulls	NBA	Milwaukee Bucks	114	111				
Regular Season	29	3	2008	(2007-08)	NBA	Denver Nuggets (2)	NBA	Golden State Warriors	119	112				
Regular Season	29	3	2008	(2007-08)	NBA	Detroit Pistons	NBA	Cleveland Cavaliers	85	71				
Regular Season	29	3	2008	(2007-08)	NBA	Los Angeles Clippers	NBA	Memphis Grizzlies	110	97				
Regular Season	29	3	2008	(2007-08)	NBA	Phoenix Suns	NBA	Brooklyn Nets	110	104				
Regular Season	30	3	2008	(2007-08)	NBA	Atlanta Hawks	NBA	New York Knicks	114	109				
Regular Season	30	3	2008	(2007-08)	NBA	Boston Celtics	NBA	Miami Heat	88	62				
Regular Season	30	3	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Philadelphia 76ers	91	88				
Regular Season	30	3	2008	(2007-08)	NBA	Golden State Warriors	NBA	Dallas Mavericks	114	104				
Regular Season	30	3	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Washington Wizards	126	120	#			
Regular Season	30	3	2008	(2007-08)	NBA	Minnesota Timberwolves	NBA	Utah Jazz	110	103				
Regular Season	30	3	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Toronto Raptors	118	111				
Regular Season	30	3	2008	(2007-08)	NBA	Sacramento Kings	NBA	Oklahoma City Thunder	120	107				
Regular Season	30	3	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Houston Rockets	109	88				
Regular Season	31	3	2008	(2007-08)	NBA	Atlanta Hawks	NBA	Memphis Grizzlies	116	99				
Regular Season	31	3	2008	(2007-08)	NBA	Dallas Mavericks	NBA	Los Angeles Clippers	93	86				
Regular Season	31	3	2008	(2007-08)	NBA	Indiana Pacers	NBA	Miami Heat	105	85				
Regular Season	31	3	2008	(2007-08)	NBA	Phoenix Suns	NBA	Denver Nuggets (2)	132	117				
Regular Season	31	3	2008	(2007-08)	NBA	Toronto Raptors	NBA	Charlotte Hornets	104	100				
Regular Season	31	3	2008	(2007-08)	NBA	Utah Jazz	NBA	Washington Wizards	129	87				
Regular Season	1	4	2008	(2007-08)	NBA	Boston Celtics	NBA	Chicago Bulls	106	92				
Regular Season	1	4	2008	(2007-08)	NBA	Denver Nuggets (2)	NBA	Phoenix Suns	126	120				
Regular Season	1	4	2008	(2007-08)	NBA	Detroit Pistons	NBA	Minnesota Timberwolves	94	90				
Regular Season	1	4	2008	(2007-08)	NBA	Milwaukee Bucks	NBA	New York Knicks	119	115	#			
Regular Season	1	4	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Orlando Magic	98	97				
Regular Season	1	4	2008	(2007-08)	NBA	Philadelphia 76ers	NBA	Brooklyn Nets	108	99				
Regular Season	1	4	2008	(2007-08)	NBA	Sacramento Kings	NBA	Houston Rockets	99	98				
Regular Season	1	4	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Golden State Warriors	116	92				
Regular Season	2	4	2008	(2007-08)	NBA	Atlanta Hawks	NBA	Toronto Raptors	127	120	#			
Regular Season	2	4	2008	(2007-08)	NBA	Boston Celtics	NBA	Indiana Pacers	92	77				
Regular Season	2	4	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Charlotte Hornets	118	114				
Regular Season	2	4	2008	(2007-08)	NBA	Dallas Mavericks	NBA	Golden State Warriors	111	86				
Regular Season	2	4	2008	(2007-08)	NBA	Los Angeles Clippers	NBA	Oklahoma City Thunder	102	84				
Regular Season	2	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Portland Trail Blazers	104	91				
Regular Season	2	4	2008	(2007-08)	NBA	Memphis Grizzlies	NBA	New York Knicks	130	114				
Regular Season	2	4	2008	(2007-08)	NBA	Milwaukee Bucks	NBA	Washington Wizards	110	109				
Regular Season	2	4	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Miami Heat	106	77				
Regular Season	2	4	2008	(2007-08)	NBA	Utah Jazz	NBA	Minnesota Timberwolves	117	100				
Regular Season	3	4	2008	(2007-08)	NBA	Chicago Bulls	NBA	Cleveland Cavaliers	101	98				
Regular Season	3	4	2008	(2007-08)	NBA	Houston Rockets	NBA	Portland Trail Blazers	95	86				
Regular Season	3	4	2008	(2007-08)	NBA	Sacramento Kings	NBA	Los Angeles Clippers	110	98				
Regular Season	4	4	2008	(2007-08)	NBA	Charlotte Hornets	NBA	Toronto Raptors	105	100				
Regular Season	4	4	2008	(2007-08)	NBA	Detroit Pistons	NBA	Brooklyn Nets	106	87				
Regular Season	4	4	2008	(2007-08)	NBA	Golden State Warriors	NBA	Memphis Grizzlies	117	86				
Regular Season	4	4	2008	(2007-08)	NBA	Houston Rockets	NBA	Oklahoma City Thunder	79	66				
Regular Season	4	4	2008	(2007-08)	NBA	Indiana Pacers	NBA	Milwaukee Bucks	105	101				
Regular Season	4	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Dallas Mavericks	112	108				
Regular Season	4	4	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	New York Knicks	118	110				
Regular Season	4	4	2008	(2007-08)	NBA	Philadelphia 76ers	NBA	Atlanta Hawks	109	104				
Regular Season	4	4	2008	(2007-08)	NBA	Phoenix Suns	NBA	Minnesota Timberwolves	117	88				
Regular Season	4	4	2008	(2007-08)	NBA	Utah Jazz	NBA	San Antonio Spurs	90	64				
Regular Season	4	4	2008	(2007-08)	NBA	Washington Wizards	NBA	Miami Heat	109	95				
Regular Season	5	4	2008	(2007-08)	NBA	Atlanta Hawks	NBA	Philadelphia 76ers	92	85				
Regular Season	5	4	2008	(2007-08)	NBA	Boston Celtics	NBA	Charlotte Hornets	101	78				
Regular Season	5	4	2008	(2007-08)	NBA	Brooklyn Nets	NBA	Toronto Raptors	99	90				
Regular Season	5	4	2008	(2007-08)	NBA	Orlando Magic	NBA	Cleveland Cavaliers	101	86				
Regular Season	5	4	2008	(2007-08)	NBA	Sacramento Kings	NBA	Denver Nuggets (2)	118	115				
Regular Season	5	4	2008	(2007-08)	NBA	Washington Wizards	NBA	Chicago Bulls	99	87				
Regular Season	6	4	2008	(2007-08)	NBA	Dallas Mavericks	NBA	Phoenix Suns	105	98				
Regular Season	6	4	2008	(2007-08)	NBA	Detroit Pistons	NBA	Miami Heat	91	75				
Regular Season	6	4	2008	(2007-08)	NBA	Houston Rockets	NBA	Los Angeles Clippers	105	79				
Regular Season	6	4	2008	(2007-08)	NBA	Indiana Pacers	NBA	Milwaukee Bucks	105	97				
Regular Season	6	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Sacramento Kings	114	92				
Regular Season	6	4	2008	(2007-08)	NBA	Memphis Grizzlies	NBA	Minnesota Timberwolves	113	101				
Regular Season	6	4	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Golden State Warriors	108	96				
Regular Season	6	4	2008	(2007-08)	NBA	New York Knicks	NBA	Orlando Magic	100	90				
Regular Season	6	4	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Portland Trail Blazers	72	65				
Regular Season	6	4	2008	(2007-08)	NBA	Oklahoma City Thunder	NBA	Denver Nuggets (2)	151	147	##			
Regular Season	8	4	2008	(2007-08)	NBA	Boston Celtics	NBA	Milwaukee Bucks	107	104	#			
Regular Season	8	4	2008	(2007-08)	NBA	Charlotte Hornets	NBA	Minnesota Timberwolves	121	119				
Regular Season	8	4	2008	(2007-08)	NBA	Dallas Mavericks	NBA	Oklahoma City Thunder	99	83				
Regular Season	8	4	2008	(2007-08)	NBA	Denver Nuggets (2)	NBA	Los Angeles Clippers	117	99				
Regular Season	8	4	2008	(2007-08)	NBA	Golden State Warriors	NBA	Sacramento Kings	140	132				
Regular Season	8	4	2008	(2007-08)	NBA	Indiana Pacers	NBA	Atlanta Hawks	112	98				
Regular Season	8	4	2008	(2007-08)	NBA	Miami Heat	NBA	Chicago Bulls	95	88				
Regular Season	8	4	2008	(2007-08)	NBA	New York Knicks	NBA	Detroit Pistons	98	94				
Regular Season	8	4	2008	(2007-08)	NBA	Phoenix Suns	NBA	Memphis Grizzlies	127	113				
Regular Season	8	4	2008	(2007-08)	NBA	Portland Trail Blazers	NBA	Los Angeles Lakers	112	103				
Regular Season	8	4	2008	(2007-08)	NBA	Utah Jazz	NBA	New Orleans Pelicans	77	66				
Regular Season	9	4	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Brooklyn Nets	104	83				
Regular Season	9	4	2008	(2007-08)	NBA	Houston Rockets	NBA	Oklahoma City Thunder	103	80				
Regular Season	9	4	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Minnesota Timberwolves	122	90				
Regular Season	9	4	2008	(2007-08)	NBA	New York Knicks	NBA	Charlotte Hornets	109	107				
Regular Season	9	4	2008	(2007-08)	NBA	Orlando Magic	NBA	Chicago Bulls	115	83				
Regular Season	9	4	2008	(2007-08)	NBA	Philadelphia 76ers	NBA	Detroit Pistons	101	94				
Regular Season	9	4	2008	(2007-08)	NBA	Phoenix Suns	NBA	San Antonio Spurs	96	79				
Regular Season	9	4	2008	(2007-08)	NBA	Toronto Raptors	NBA	Milwaukee Bucks	111	93				
Regular Season	9	4	2008	(2007-08)	NBA	Washington Wizards	NBA	Boston Celtics	109	95				
Regular Season	10	4	2008	(2007-08)	NBA	Dallas Mavericks	NBA	Utah Jazz	97	94				
Regular Season	10	4	2008	(2007-08)	NBA	Denver Nuggets (2)	NBA	Golden State Warriors	114	105				
Regular Season	10	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Los Angeles Clippers	106	78				
Regular Season	11	4	2008	(2007-08)	NBA	Atlanta Hawks	NBA	New York Knicks	116	104				
Regular Season	11	4	2008	(2007-08)	NBA	Boston Celtics	NBA	Milwaukee Bucks	102	86				
Regular Season	11	4	2008	(2007-08)	NBA	Chicago Bulls	NBA	Cleveland Cavaliers	100	95				
Regular Season	11	4	2008	(2007-08)	NBA	Detroit Pistons	NBA	Washington Wizards	102	74				
Regular Season	11	4	2008	(2007-08)	NBA	Houston Rockets	NBA	Phoenix Suns	101	90				
Regular Season	11	4	2008	(2007-08)	NBA	Indiana Pacers	NBA	Philadelphia 76ers	85	76				
Regular Season	11	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	New Orleans Pelicans	107	104				
Regular Season	11	4	2008	(2007-08)	NBA	Memphis Grizzlies	NBA	Miami Heat	96	91				
Regular Season	11	4	2008	(2007-08)	NBA	Minnesota Timberwolves	NBA	Orlando Magic	102	101				
Regular Season	11	4	2008	(2007-08)	NBA	Sacramento Kings	NBA	Portland Trail Blazers	103	86				
Regular Season	11	4	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Oklahoma City Thunder	95	74				
Regular Season	11	4	2008	(2007-08)	NBA	Toronto Raptors	NBA	Brooklyn Nets	113	85				
Regular Season	12	4	2008	(2007-08)	NBA	Boston Celtics	NBA	Atlanta Hawks	99	89				
Regular Season	12	4	2008	(2007-08)	NBA	Charlotte Hornets	NBA	Indiana Pacers	107	103				
Regular Season	12	4	2008	(2007-08)	NBA	Golden State Warriors	NBA	Los Angeles Clippers	122	116				
Regular Season	12	4	2008	(2007-08)	NBA	Minnesota Timberwolves	NBA	Memphis Grizzlies	114	105				
Regular Season	12	4	2008	(2007-08)	NBA	Brooklyn Nets	NBA	Milwaukee Bucks	111	98				
Regular Season	12	4	2008	(2007-08)	NBA	Portland Trail Blazers	NBA	Dallas Mavericks	108	105				
Regular Season	12	4	2008	(2007-08)	NBA	Sacramento Kings	NBA	New Orleans Pelicans	94	91				
Regular Season	12	4	2008	(2007-08)	NBA	Utah Jazz	NBA	Denver Nuggets (2)	124	97				
Regular Season	12	4	2008	(2007-08)	NBA	Washington Wizards	NBA	Philadelphia 76ers	109	93				
Regular Season	13	4	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Miami Heat	84	76				
Regular Season	13	4	2008	(2007-08)	NBA	Denver Nuggets (2)	NBA	Houston Rockets	111	94				
Regular Season	13	4	2008	(2007-08)	NBA	Detroit Pistons	NBA	Toronto Raptors	91	84				
Regular Season	13	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	San Antonio Spurs	106	85				
Regular Season	13	4	2008	(2007-08)	NBA	Orlando Magic	NBA	Chicago Bulls	104	84				
Regular Season	13	4	2008	(2007-08)	NBA	Oklahoma City Thunder	NBA	Dallas Mavericks	99	95				
Regular Season	14	4	2008	(2007-08)	NBA	Boston Celtics	NBA	New York Knicks	99	93				
Regular Season	14	4	2008	(2007-08)	NBA	Chicago Bulls	NBA	Milwaukee Bucks	151	135				
Regular Season	14	4	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Philadelphia 76ers	91	90				
Regular Season	14	4	2008	(2007-08)	NBA	Phoenix Suns	NBA	Golden State Warriors	122	116				
Regular Season	14	4	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Sacramento Kings	101	98				
Regular Season	14	4	2008	(2007-08)	NBA	Toronto Raptors	NBA	Miami Heat	91	75				
Regular Season	14	4	2008	(2007-08)	NBA	Utah Jazz	NBA	Houston Rockets	105	96				
Regular Season	14	4	2008	(2007-08)	NBA	Washington Wizards	NBA	Indiana Pacers	117	110				
Regular Season	15	4	2008	(2007-08)	NBA	Detroit Pistons	NBA	Minnesota Timberwolves	115	103				
Regular Season	15	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Sacramento Kings	124	101				
Regular Season	15	4	2008	(2007-08)	NBA	Brooklyn Nets	NBA	Charlotte Hornets	112	108	#			
Regular Season	15	4	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Los Angeles Clippers	114	92				
Regular Season	15	4	2008	(2007-08)	NBA	Orlando Magic	NBA	Atlanta Hawks	121	105				
Regular Season	15	4	2008	(2007-08)	NBA	Portland Trail Blazers	NBA	Memphis Grizzlies	113	91				
Regular Season	16	4	2008	(2007-08)	NBA	Boston Celtics	NBA	Brooklyn Nets	105	94				
Regular Season	16	4	2008	(2007-08)	NBA	Charlotte Hornets	NBA	Philadelphia 76ers	115	109				
Regular Season	16	4	2008	(2007-08)	NBA	Chicago Bulls	NBA	Toronto Raptors	107	97				
Regular Season	16	4	2008	(2007-08)	NBA	Dallas Mavericks	NBA	New Orleans Pelicans	111	98				
Regular Season	16	4	2008	(2007-08)	NBA	Denver Nuggets (2)	NBA	Memphis Grizzlies	120	111				
Regular Season	16	4	2008	(2007-08)	NBA	Detroit Pistons	NBA	Cleveland Cavaliers	84	74				
Regular Season	16	4	2008	(2007-08)	NBA	Houston Rockets	NBA	Los Angeles Clippers	93	75				
Regular Season	16	4	2008	(2007-08)	NBA	Indiana Pacers	NBA	New York Knicks	132	123				
Regular Season	16	4	2008	(2007-08)	NBA	Miami Heat	NBA	Atlanta Hawks	113	99				
Regular Season	16	4	2008	(2007-08)	NBA	Minnesota Timberwolves	NBA	Milwaukee Bucks	110	101	#			
Regular Season	16	4	2008	(2007-08)	NBA	Orlando Magic	NBA	Washington Wizards	103	83				
Regular Season	16	4	2008	(2007-08)	NBA	Phoenix Suns	NBA	Portland Trail Blazers	100	91				
Regular Season	16	4	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Utah Jazz	109	80				
Regular Season	16	4	2008	(2007-08)	NBA	Oklahoma City Thunder	NBA	Golden State Warriors	126	121				
Playoffs	19	4	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Washington Wizards	93	86				
Playoffs	19	4	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Dallas Mavericks	104	92				
Playoffs	19	4	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Phoenix Suns	117	115	##			
Playoffs	19	4	2008	(2007-08)	NBA	Utah Jazz	NBA	Houston Rockets	93	82				
Playoffs	20	4	2008	(2007-08)	NBA	Boston Celtics	NBA	Atlanta Hawks	104	81				
Playoffs	20	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Denver Nuggets (2)	128	114				
Playoffs	20	4	2008	(2007-08)	NBA	Orlando Magic	NBA	Toronto Raptors	114	100				
Playoffs	20	4	2008	(2007-08)	NBA	Philadelphia 76ers	NBA	Detroit Pistons	90	86				
Playoffs	21	4	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Washington Wizards	116	86				
Playoffs	21	4	2008	(2007-08)	NBA	Utah Jazz	NBA	Houston Rockets	90	84				
Playoffs	22	4	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Dallas Mavericks	127	103				
Playoffs	22	4	2008	(2007-08)	NBA	Orlando Magic	NBA	Toronto Raptors	104	103				
Playoffs	22	4	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Phoenix Suns	102	96				
Playoffs	23	4	2008	(2007-08)	NBA	Boston Celtics	NBA	Atlanta Hawks	96	77				
Playoffs	23	4	2008	(2007-08)	NBA	Detroit Pistons	NBA	Philadelphia 76ers	105	88				
Playoffs	23	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Denver Nuggets (2)	122	107				
Playoffs	24	4	2008	(2007-08)	NBA	Houston Rockets	NBA	Utah Jazz	94	92				
Playoffs	24	4	2008	(2007-08)	NBA	Toronto Raptors	NBA	Orlando Magic	108	94				
Playoffs	24	4	2008	(2007-08)	NBA	Washington Wizards	NBA	Cleveland Cavaliers	108	72				
Playoffs	25	4	2008	(2007-08)	NBA	Dallas Mavericks	NBA	New Orleans Pelicans	97	87				
Playoffs	25	4	2008	(2007-08)	NBA	Philadelphia 76ers	NBA	Detroit Pistons	95	75				
Playoffs	25	4	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Phoenix Suns	115	99				
Playoffs	26	4	2008	(2007-08)	NBA	Atlanta Hawks	NBA	Boston Celtics	102	93				
Playoffs	26	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Denver Nuggets (2)	102	84				
Playoffs	26	4	2008	(2007-08)	NBA	Orlando Magic	NBA	Toronto Raptors	106	94				
Playoffs	26	4	2008	(2007-08)	NBA	Utah Jazz	NBA	Houston Rockets	86	82				
Playoffs	27	4	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Washington Wizards	100	97				
Playoffs	27	4	2008	(2007-08)	NBA	Detroit Pistons	NBA	Philadelphia 76ers	93	84				
Playoffs	27	4	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Dallas Mavericks	97	84				
Playoffs	27	4	2008	(2007-08)	NBA	Phoenix Suns	NBA	San Antonio Spurs	105	86				
Playoffs	28	4	2008	(2007-08)	NBA	Atlanta Hawks	NBA	Boston Celtics	97	92				
Playoffs	28	4	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Denver Nuggets (2)	107	101				
Playoffs	28	4	2008	(2007-08)	NBA	Orlando Magic	NBA	Toronto Raptors	102	92				
Playoffs	29	4	2008	(2007-08)	NBA	Detroit Pistons	NBA	Philadelphia 76ers	98	81				
Playoffs	29	4	2008	(2007-08)	NBA	Houston Rockets	NBA	Utah Jazz	95	69				
Playoffs	29	4	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	Dallas Mavericks	99	94				
Playoffs	29	4	2008	(2007-08)	NBA	San Antonio Spurs	NBA	Phoenix Suns	92	87				
Playoffs	30	4	2008	(2007-08)	NBA	Boston Celtics	NBA	Atlanta Hawks	110	85				
Playoffs	30	4	2008	(2007-08)	NBA	Washington Wizards	NBA	Cleveland Cavaliers	88	87				
Playoffs	1	5	2008	(2007-08)	NBA	Detroit Pistons	NBA	Philadelphia 76ers	100	77				
Playoffs	2	5	2008	(2007-08)	NBA	Atlanta Hawks	NBA	Boston Celtics	103	100				
Playoffs	2	5	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Washington Wizards	105	88				
Playoffs	2	5	2008	(2007-08)	NBA	Utah Jazz	NBA	Houston Rockets	113	91				
Playoffs	3	5	2008	(2007-08)	NBA	Detroit Pistons	NBA	Orlando Magic	91	72				
Playoffs	3	5	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	San Antonio Spurs	101	82				
Playoffs	4	5	2008	(2007-08)	NBA	Boston Celtics	NBA	Atlanta Hawks	99	65				
Playoffs	4	5	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Utah Jazz	109	98				
Playoffs	5	5	2008	(2007-08)	NBA	Detroit Pistons	NBA	Orlando Magic	100	93				
Playoffs	5	5	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	San Antonio Spurs	102	84				
Playoffs	6	5	2008	(2007-08)	NBA	Boston Celtics	NBA	Cleveland Cavaliers	76	72				
Playoffs	7	5	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Utah Jazz	120	110				
Playoffs	7	5	2008	(2007-08)	NBA	Orlando Magic	NBA	Detroit Pistons	111	86				
Playoffs	8	5	2008	(2007-08)	NBA	Boston Celtics	NBA	Cleveland Cavaliers	89	73				
Playoffs	8	5	2008	(2007-08)	NBA	San Antonio Spurs	NBA	New Orleans Pelicans	110	99				
Playoffs	9	5	2008	(2007-08)	NBA	Utah Jazz	NBA	Los Angeles Lakers	104	99				
Playoffs	10	5	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Boston Celtics	108	84				
Playoffs	10	5	2008	(2007-08)	NBA	Detroit Pistons	NBA	Orlando Magic	90	89				
Playoffs	11	5	2008	(2007-08)	NBA	San Antonio Spurs	NBA	New Orleans Pelicans	100	80				
Playoffs	11	5	2008	(2007-08)	NBA	Utah Jazz	NBA	Los Angeles Lakers	123	115	#			
Playoffs	12	5	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Boston Celtics	88	77				
Playoffs	13	5	2008	(2007-08)	NBA	Detroit Pistons	NBA	Orlando Magic	91	86				
Playoffs	13	5	2008	(2007-08)	NBA	New Orleans Pelicans	NBA	San Antonio Spurs	101	79				
Playoffs	14	5	2008	(2007-08)	NBA	Boston Celtics	NBA	Cleveland Cavaliers	96	89				
Playoffs	14	5	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Utah Jazz	111	104				
Playoffs	15	5	2008	(2007-08)	NBA	San Antonio Spurs	NBA	New Orleans Pelicans	99	80				
Playoffs	16	5	2008	(2007-08)	NBA	Cleveland Cavaliers	NBA	Boston Celtics	74	69				
Playoffs	16	5	2008	(2007-08)	NBA	Los Angeles Lakers	NBA	Utah Jazz	108	105				
Playoffs	18	5	2008	(2007-08)	NBA	Boston Celtics	NBA	Cleveland Cavaliers	97	92				
Playoffs	19	5	2008	(2007-08)	NBA	San Antonio Spurs	NBA	New Orleans Pelicans	91	82				
